label,variant,auc,ci_lower,ci_upper,n_pos,n_neg
label_26,baseline_12_2hr,0.6092516134204514,0.0,0.0,13,1919
label_26,hybrid_12_2hr,0.5855213051669539,0.0,0.0,13,1919
label_26,physics_12_2hr,0.6092516134204514,0.0,0.0,13,1919
label_27,classifier_true_12_2hr,0.43453001638611655,0.0,0.0,14,1918
label_27,baseline_12_2hr,0.4559250707582303,0.0,0.0,14,1918
label_27,hybrid_12_2hr,0.49124832414717706,0.0,0.0,14,1918
label_27,physics_12_2hr,0.4559250707582303,0.0,0.0,14,1918
label_28,classifier_true_12_2hr,0.6079604578563997,0.0,0.0,10,1922
label_28,baseline_12_2hr,0.5452393340270553,0.0,0.0,10,1922
label_28,hybrid_12_2hr,0.5012747138397503,0.0,0.0,10,1922
label_28,physics_12_2hr,0.5452393340270553,0.0,0.0,10,1922
label_29,classifier_true_12_2hr,0.482963418673986,0.0,0.0,11,1921
label_29,baseline_12_2hr,0.5076191377596895,0.0,0.0,11,1921
label_29,hybrid_12_2hr,0.47233921726373573,0.0,0.0,11,1921
label_29,physics_12_2hr,0.5076191377596895,0.0,0.0,11,1921
